id	migration	batch
1	2014_10_12_000000_create_users_table	1
2	2014_10_12_100000_create_password_resets_table	1
3	2019_08_19_000000_create_failed_jobs_table	1
4	2021_05_05_081114_create_admins_table	1
5	2021_05_05_102600_create_attributes_table	1
6	2021_05_05_102742_create_categories_table	1
7	2021_05_06_102004_create_vendors_table	1
8	2021_05_06_153204_create_restaurants_table	1
9	2021_05_08_113436_create_add_ons_table	2
47	2021_05_08_123446_create_food_table	10
48	2021_05_08_141209_create_currencies_table	10
49	2021_05_09_050232_create_orders_table	10
50	2021_05_09_051907_create_reviews_table	10
51	2021_05_09_054237_create_order_details_table	10
52	2021_05_10_105324_create_mail_configs_table	10
53	2021_05_10_152713_create_business_settings_table	10
54	2021_05_11_111722_create_banners_table	11
55	2021_05_11_134442_create_coupons_table	11
56	2021_05_12_053344_create_conversations_table	11
57	2021_05_12_055454_create_delivery_men_table	12
58	2021_05_12_060138_create_d_m_reviews_table	12
59	2021_05_12_060527_create_track_deliverymen_table	12
60	2021_05_12_061345_create_email_verifications_table	12
61	2021_05_12_061454_create_delivery_histories_table	12
62	2021_05_12_061718_create_wishlists_table	12
63	2021_05_12_061924_create_notifications_table	12
64	2021_05_12_062152_create_customer_addresses_table	12
68	2021_05_12_062412_create_order_delivery_histories_table	13
69	2021_05_19_115112_create_zones_table	13
70	2021_05_19_120612_create_restaurant_zone_table	13
71	2021_06_07_103835_add_column_to_vendor_table	14
73	2021_06_07_112335_add_column_to_vendors_table	15
74	2021_06_08_162354_add_column_to_restaurants_table	16
77	2021_06_09_115719_add_column_to_add_ons_table	17
78	2021_06_10_091547_add_column_to_coupons_table	18
79	2021_06_12_070530_rename_banners_table	19
80	2021_06_12_091154_add_column_on_campaigns_table	20
87	2021_06_12_091848_create_item_campaigns_table	21
92	2021_06_13_155531_create_campaign_restaurant_table	22
93	2021_06_14_090520_add_item_campaign_id_column_to_reviews_table	23
94	2021_06_14_091735_add_item_campaign_id_column_to_order_details_table	24
95	2021_06_14_120713_create_new_banners_table	25
96	2021_06_15_103656_add_zone_id_column_to_banners_table	26
97	2021_06_16_110322_create_discounts_table	27
100	2021_06_17_150243_create_withdraw_requests_table	28
103	2016_06_01_000001_create_oauth_auth_codes_table	30
104	2016_06_01_000002_create_oauth_access_tokens_table	30
105	2016_06_01_000003_create_oauth_refresh_tokens_table	30
106	2016_06_01_000004_create_oauth_clients_table	30
107	2016_06_01_000005_create_oauth_personal_access_clients_table	30
108	2021_06_21_051135_add_delivery_charge_to_orders_table	31
110	2021_06_23_080009_add_role_id_to_admins_table	32
111	2021_06_27_140224_add_interest_column_to_users_table	33
113	2021_06_27_142558_change_column_to_restaurants_table	34
114	2021_06_27_152139_add_restaurant_id_column_to_wishlists_table	35
115	2021_06_28_142443_add_restaurant_id_column_to_customer_addresses_table	36
118	2021_06_29_134119_add_schedule_column_to_orders_table	37
122	2021_06_30_084854_add_cm_firebase_token_column_to_users_table	38
123	2021_06_30_133932_add_code_column_to_coupons_table	39
127	2021_07_01_151103_change_column_food_id_from_admin_wallet_histories_table	40
129	2021_07_04_142159_add_callback_column_to_orders_table	41
131	2021_07_05_155506_add_cm_firebase_token_to_vendors_table	42
133	2021_07_05_162404_add_otp_to_orders_table	43
134	2021_07_13_133941_create_admin_roles_table	44
135	2021_07_14_074431_add_status_to_delivery_men_table	45
136	2021_07_14_104102_create_vendor_employees_table	46
137	2021_07_14_110011_create_employee_roles_table	46
138	2021_07_15_124141_add_cover_photo_to_restaurants_table	47
143	2021_06_17_145949_create_wallets_table	48
144	2021_06_19_052600_create_admin_wallets_table	48
145	2021_07_19_103748_create_delivery_man_wallets_table	48
146	2021_07_19_105442_create_account_transactions_table	48
147	2021_07_19_110152_create_order_transactions_table	48
148	2021_07_19_134356_add_column_to_notifications_table	49
149	2021_07_25_125316_add_available_to_delivery_men_table	50
150	2021_07_25_154722_add_columns_to_restaurants_table	51
